CHRG_DESC,PREM_DESC,ADDRESS,LAT_LONG,DATETIME,DOW,DISTRICT,CASE_NUMBER
LARCENY,PARKING LOT/GARAGE,213 CROWN ST,"41.3059888, -72.9288928",2020-02-18T12:30:00Z,TUE,1,20008380
LARCENY,PARKING LOT/GARAGE,275 SOUTH ORANGE ST,"41.302275, -72.925625",2020-02-22T12:44:00Z,SAT,1,20009110
MOTOR VEHICLE THEFT,RENTAL STORAGE FACILITY,1 GEORGE ST,"41.3029325, -72.92460319999999",2020-02-20T11:28:00Z,THU,1,20008692
LARCENY,STREET/HIGHWAY/ALLEYWAY,104 S GENESEE ST,"41.3362979, -72.9738662",2020-02-19T12:06:00Z,WED,2,20008544
LARCENY,PARKING LOT/GARAGE,495 BLAKE ST,"41.3284056, -72.95963929999999",2020-02-21T16:35:00Z,FRI,2,20008985
MOTOR VEHICLE THEFT,SERVICE/GAS STATION,801 WHALLEY AVE,"41.3255219, -72.95752159999999",2020-02-22T03:14:00Z,SAT,2,20009078
ROBBERY,HOTEL/MOTEL/ETC,1605 WHALLEY AVE,"41.3383136, -72.9756752",2020-02-23T01:36:00Z,SUN,2,20009232
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,604 ELLA T GRASSO BLVD,"41.2952467, -72.9470486",2020-02-23T03:39:00Z,SUN,3,20009238
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,698 WASHINGTON AVE,"41.2924852, -72.9398617",2020-02-19T15:20:00Z,WED,3,20008575
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,332 HOWARD AVE,"41.2902003, -72.9325379",2020-02-22T22:53:00Z,SAT,3,20009215
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,1369 CHAPEL ST,"41.3105783, -72.9407056",2020-02-17T22:17:00Z,MON,4,20008310
BURGLARY,COMMERCIAL/OFFICE BLDG,175 SHERMAN AVE,"41.3115811, -72.94421299999999",2020-02-17T05:15:00Z,MON,4,20008200
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,80 STANLEY ST,"41.313472, -72.951368",2020-02-22T02:01:00Z,SAT,4,20009074
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,1363 CHAPEL ST,"41.31063049999999, -72.9405062",2020-02-21T00:59:00Z,FRI,4,20008890
LARCENY,PARKING LOT/GARAGE,1275 CHAPEL ST,"41.3099794, -72.9373411",2020-02-18T08:49:00Z,TUE,4,20008335
LARCENY,STREET/HIGHWAY/ALLEYWAY,CHAPEL ST & SHERMAN AVE,"41.3113961, -72.9446214",2020-02-18T11:11:00Z,TUE,4,20008363
LARCENY,STREET/HIGHWAY/ALLEYWAY,84 SHERMAN AVE,"41.308649, -72.9461341",2020-02-23T11:58:00Z,SUN,4,20009255
BURGLARY,RESIDENCE/HOME,135 SYLVAN AVE,"41.3043122, -72.9447481",2020-02-19T11:33:00Z,WED,5,20008538
LARCENY,DRUG STORE/DRS OFFICE/HOSPITAL,20 YORK ST,"41.3044229, -72.93556629999999",2020-02-17T13:51:00Z,MON,5,20008237
MOTOR VEHICLE THEFT,PARKING LOT/GARAGE,628 HOWARD AVE,"41.2981828, -72.934456",2020-02-23T10:05:00Z,SUN,5,20009249
FIREARM DISCHARGE,PARKING LOT/GARAGE,26 CHARLES ST,"41.319069, -72.9350311",2020-02-21T22:51:00Z,FRI,6,20009057
LARCENY,PARKING LOT/GARAGE,23 LAKE PL,"41.3152288, -72.92987459999999",2020-02-18T12:35:00Z,TUE,6,20008388
BURGLARY,GROCERY/SUPERMARKET,721 ORANGE ST,"41.3199626, -72.91308889999999",2020-02-19T07:05:00Z,WED,7,20008496
BURGLARY,STREET/HIGHWAY/ALLEYWAY,370 MANSFIELD ST,"41.32538580000001, -72.9249707",2020-02-19T12:21:00Z,WED,7,20008549
BURGLARY,RESIDENCE/HOME,61 BREWSTER ST,"41.3314448, -72.9341297",2020-02-21T22:22:00Z,FRI,7,20009051
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,735 WINCHESTER AVE,"41.3307931, -72.9256537",2020-02-22T12:28:00Z,SAT,7,20009109
LARCENY,STREET/HIGHWAY/ALLEYWAY,490 PROSPECT ST,"41.3260961, -72.9230097",2020-02-21T07:09:00Z,FRI,7,20008900
LARCENY,STREET/HIGHWAY/ALLEYWAY,68 CANNER ST,"41.3226702, -72.9102741",2020-02-23T11:52:00Z,SUN,7,20009253
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,71 WILLIS ST,"41.33212899999999, -72.93804",2020-02-17T08:19:00Z,MON,7,20008206
ROBBERY,RESIDENCE/HOME,74 GOODYEAR ST,"41.3340885, -72.932238",2020-02-17T00:28:00Z,MON,7,20008192
ROBBERY,STREET/HIGHWAY/ALLEYWAY,1314 STATE ST,"41.3193579, -72.89929149999999",2020-02-23T00:06:00Z,SUN,7,20009216
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,195 LLOYD ST,"41.3071302, -72.9005493",2020-02-23T20:05:00Z,SUN,8,20009316
BURGLARY,RESIDENCE/HOME,247 CHAPEL ST,"41.30397199999999, -72.90203799999999",2020-02-19T21:27:00Z,WED,8,20008614
BURGLARY,RESIDENCE/HOME,174 BLATCHLEY AVE,"41.306431, -72.8994299",2020-02-20T12:16:00Z,THU,8,20008714
LARCENY,PARKING LOT/GARAGE,25 FILLMORE ST,"41.3096475, -72.8980455",2020-02-19T08:00:00Z,WED,8,20008505
LARCENY,PARKING LOT/GARAGE,264 BLATCHLEY AVE,"41.3093677, -72.89970679999999",2020-02-20T07:18:00Z,THU,8,20008663
MOTOR VEHICLE THEFT,RESIDENCE/HOME,105 CLAY ST,"41.3105256, -72.9003067",2020-02-20T00:48:00Z,THU,8,20008652
ROBBERY,STREET/HIGHWAY/ALLEYWAY,168 BLATCHLEY AVE,"41.3063096, -72.8993837",2020-02-20T22:48:00Z,THU,8,20008883
AGGRAVATED ASSAULT,RESIDENCE/HOME,45 BARNES AVE,"41.325423, -72.879286",2020-02-22T22:11:00Z,SAT,9,20009205
LARCENY,RESIDENCE/HOME,105 ELIZABETH ANN DR,"41.280384, -72.88826209999999",2020-02-23T08:24:00Z,SUN,9,20009244
